symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,dataset_version,pnl_gross,fee_entry,fee_exit,fee_total,pnl_net,mfe_pct,mae_pct,result_net,risk_per_trade_used,is_holiday_ar,holiday_name_ar,is_holiday_eu,holiday_name_eu,is_holiday_asia,holiday_name_asia,is_good_friday,liquidity_mode,ai_trade_decision,ai_context_risk,trade_filter_reason
SUIUSDT,37.219730941703816,0.18348971614432302,0,-0.0005579999999999474,1,1.5108293051999961,1776105424,18,0,0.7,sideways,trend,conservative,0.0026642857142857223,low,us,0,,live_ai_risk_v3,1.5108293051999961,0.14887354604310954,0.15038437534830953,0.29925792139141905,1.211571383808577,1.0148406809253574,0.0,1,0.01,0,,0,,0,,0,normal,1,conservative,ok
BTCUSDT,69.10297944659823,5.738513736536987,1,354.755799999999,1,1.8364342800000206,1776107982,19,0,0.75,bull,breakout,normal,111.94571428571466,low,us,0,,live_ai_risk_v3,1.8364342800000206,0.1836334703256521,0.18546990460565213,0.36910337493130424,1.4673309050687164,1.2806706566616748,-0.010615844437341756,1,0.02,0,,0,,0,,0,normal,1,normal,ok
LINKUSDT,58.823529411764525,3.2612787487014097,1,0.040599999999999525,1,1.319028320000001,1776107984,19,0,0.75,bull,breakout,normal,0.026428571428571627,low,us,0,,live_ai_risk_v3,1.319028320000001,0.1469067762605217,0.1482258045805217,0.29513258084104343,1.0238957391589576,1.2345679012345616,0.0,1,0.02,0,,0,,0,,0,normal,1,normal,ok
XRPUSDT,85.27918781725846,3.369254985712866,1,0.012567999999999913,0,-0.751698026700014,1776109727,19,0,0.75,bull,breakout,normal,0.002521428571428611,low,us,0,,live_ai_risk_v3,-0.751698026700014,0.14730013021703925,0.14654843219033925,0.2938485624073785,-1.0455465891073925,0.21448117742769784,-0.510317284224549,0,0.02,0,,0,,0,,0,normal,1,normal,ok
TAOUSDT,29.230769230769013,0.07649777448104882,0,-1.4979999999999905,1,1.6630540999999877,1776112578,20,0,0.8,bear,mean_reversion,normal,1.0142857142857136,low,us,0,,live_ai_risk_v3,1.6630540999999877,0.18394815349086616,0.18561120759086613,0.36955936108173226,1.2934947389182554,0.9040880503144586,-0.039308176100626695,1,0.02,0,,0,,0,,0,normal,0,normal,ok
AVAXUSDT,22.222222222222342,0.07902707057286124,0,-0.010999999999999233,1,0.6336212000000147,1776112833,20,0,0.8,sideways,mean_reversion,conservative,0.03214285714285735,low,us,0,,live_ai_risk_v3,0.6336212000000147,0.1471585227926929,0.14779214399269294,0.29495066678538584,0.3386705332146288,0.4305705059203545,-0.32292787944025153,1,0.01,0,,0,,0,,0,normal,0,conservative,ok
BNBUSDT,30.21978021977941,0.1358750571301153,1,2.2024000000000115,1,0.07650169999996996,1776125459,0,1,0.7,bull,trend,normal,1.0571428571428538,low,asia,0,,live_ai_risk_v3,0.07650169999996996,0.21340817953427402,0.21348468123427397,0.426892860768548,-0.350391160768578,0.09287774355965135,-0.43180003584756493,0,0.02,0,,0,,0,,0,normal,1,normal,ok
TAOUSDT,36.36363636363601,2.4995191908103847,0,-0.14400000000000546,0,-1.51962379999997,1776125650,0,1,0.7,sideways,trend,conservative,1.2642857142857136,low,asia,0,,live_ai_risk_v3,-1.51962379999997,0.1707265436274192,0.16920691982741923,0.33993346345483844,-1.8595572634548083,0.19349845201238391,-1.5479876160990602,0,0.01,0,,0,,0,,0,normal,1,conservative,ok
XRPUSDT,32.9729729729726,1.3573662585285613,1,0.006127999999999911,0,-0.06988805880001447,1776125653,0,1,0.7,bull,trend,normal,0.0032785714285714163,low,asia,0,,live_ai_risk_v3,-0.06988805880001447,0.13658123490193536,0.13651134684313534,0.2730925817450707,-0.34298064054508515,0.0,-0.5628654970760263,0,0.02,0,,0,,0,,0,normal,1,normal,ok
ADAUSDT,33.33333333333333,0.9546630596963307,1,0.000256000000000034,0,-0.17531821109999693,1776129493,1,1,0.7,bull,trend,normal,0.000757142857142861,low,asia,0,,live_ai_risk_v3,-0.17531821109999693,0.14341029664703214,0.14323497843593214,0.2866452750829643,-0.46196348618296124,0.28524857375713375,-0.36674816625917356,0,0.02,0,,0,,0,,0,normal,1,normal,ok
