symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,dataset_version,pnl_gross,fee_entry,fee_exit,fee_total,pnl_net,mfe_pct,mae_pct,risk_per_trade_used
FETUSDT,23.52941176470604,2.0835612545042363,0,-0.003037999999999985,1,0.23612957599999038,1775243260,19,4,0.8,sideways,mean_reversion,normal,0.0006714285714285748,low,us,0,,,0.23612957599999038,0.1378406400000001,0.1380767695760001,0.2759174095760002,-0.03978783357600982,0.8993576017130581,0.0,0.02
TURBOUSDT,37.383177570093515,0.00863478083510948,1,1.3160000000000125e-05,0,-1.7021902467900043,1775245810,19,4,0.7,bull,trend,normal,1.4071428571428581e-05,medium,us,0,,live_ai_risk_v1,-1.7021902467900043,0.17243187200000012,0.17072968175321013,0.3431615537532102,-2.0453518005432145,0.8884501480750142,-0.9871668311944745,0.02
MAVUSDT,27.586206896551772,1.2532522575726006,0,-0.00011120000000000053,0,-0.6887435685899891,1775246874,20,4,0.8,bear,mean_reversion,normal,3.7857142857143046e-05,low,us,0,,live_ai_risk_v1,-0.6887435685899891,0.1379454976000001,0.1372567540314101,0.2752022516314102,-0.9639458202213993,0.0,-0.4992867332382232,0.02
PYTHUSDT,27.272727272727607,1.5322398220351865,0,-0.0005120000000000055,1,0.9852216748000283,1775248749,20,4,0.8,bear,mean_reversion,normal,0.00011428571428571607,low,us,0,,live_ai_risk_v1,0.9852216748000283,0.20000000000000015,0.20098522167480015,0.40098522167480033,0.584236453125228,0.9852216748768584,0.0,0.02
DYMUSDT,24.9999999999999,1.224672563253383,0,-0.0003020000000000002,0,-0.7476635513999954,1775251959,21,4,0.8,bear,mean_reversion,normal,0.00014285714285714224,low,off,0,,live_ai_risk_v1,-0.7476635513999954,0.16000000000000011,0.15925233644860012,0.31925233644860024,-1.0669158878485956,0.4672897196261654,-0.4672897196261654,0.02
LUNAUSDT,33.33333333333327,0.034878939053713004,1,0.0003379999999999911,1,0.23104693140000662,1775252153,21,4,0.7,bull,trend,normal,0.0005285714285714288,low,off,0,,live_ai_risk_v1,0.23104693140000662,0.12800000000000009,0.1282310469314001,0.2562310469314002,-0.025184115531393575,1.0830324909747353,0.0,0.02
USTCUSDT,21.05263157894734,8.569980332027605,0,-8.660000000000004e-05,0,-1.5579868709000175,1775254105,22,4,0.8,sideways,mean_reversion,normal,7.214285714285699e-05,medium,off,0,,live_ai_risk_v1,-1.5579868709000175,0.14240000000000008,0.14084201312910008,0.28324201312910013,-1.8412288840291176,0.6564551422319397,-1.0940919037199248,0.02
ALGOUSDT,38.46153846153853,0.12307128325592803,1,0.000785999999999995,0,-1.8113403736999938,1775256048,22,4,0.7,bull,trend,normal,0.0013000000000000015,medium,off,0,,live_ai_risk_v1,-1.8113403736999938,0.17152000000000012,0.16970865962630013,0.3412286596263002,-2.152569033326294,0.48740861088546167,-1.0560519902518242,0.02
DOGEUSDT,9.677419354837483,1.3791036471654363,0,-0.0002636000000000027,0,-0.1497827748000043,1775256568,22,4,0.8,sideways,mean_reversion,normal,0.00012214285714285837,low,off,0,,live_ai_risk_v1,-0.1497827748000043,0.1372160000000001,0.1370662172252001,0.2742822172252002,-0.4240649920252045,0.08732671105774123,-0.10915838882218411,0.02
XPLUSDT,2.5641025641026403,1.166807353504081,0,-0.003054000000000015,1,0.1259132969000036,1775256741,22,4,0.8,bear,mean_reversion,normal,0.0004785714285714264,low,off,0,,live_ai_risk_v1,0.1259132969000036,0.1382528000000001,0.1383787132969001,0.27663151329690017,-0.15071821639689656,1.1839708561020124,-0.1821493624772239,0.02
